,Catchy Title [for dataset],"Catchy Title [for use case, application]",Country / Region ,What this is about/Description,Access to the dataset [link],"Access to AI Model, Software, AI Application [link]",Sector /Sustainable Development Goal ,Maturity / Readiness for replication or scaling [INTERNAL],Type of Data,Point of contact & community support ,Data characteristics: how to use it & key characteristics ,"Model characteristics: How to use & key characteristics of the AI Model, Software, AI Application",How to use it: How can you concretely work with this and built on this? How much will this cost and which resources are available to help me? ,"Organizations involved - including logos, links and visual elements",Editor of this information:,Technical Domain,Expressive visualization / picture related to dataset / possible use / story-tellling,License,"Additional Resources (Paper, Publications, etc)",GIZ Funded (Yes/No),Info on fair sharing as as Digital Public Good ,Comments
ui_10,Promoting energy conservation and market analysis in Pakistan through Residential Energy and Weather Data (REWD),,Pakistan,"This dataset helps to understand energy consumption patterns in relation to weather conditions in Pakistan. This can guide policymaking on energy and energy conservation, sustainabe energy initiatives and private sector use (market assessment and strategic planning as new entrants in the restructured energy market). 
The project produced an energy dataset of residential consumption data from buildings across six climatic zones. The energy dataset is recorded on a 1-minute granularity for entire household usage as well as for individual appliances. With over a year of detailed energy consumption data and 18 months of weather data collected from a diverse array of households across six distinct climatic zones, it is one of the most comprehensive datasets of its kind. This meteorological dataset has been accumulated over a period of 18 months for the six urban centers. This weather data comprises of up to 10 essential variables such as temperature, atmospheric pressure, humidity and Precipitation, thus providing an all-around perspective of the environmental elements impacting energy consumption.",https://lei.lums.edu.pk/datasets/residential-energy-and-weather-data-pakistan.html,,"SDG 13 (Climate Action), SDG 7",Dataset,Tabular,Lahore University of Management Sciences (LUMS),"This Dataset is available in the webpage of the Lahore University. The dataset consist oth three parallel corpora: 
1. Electricity consumption datacollected over year through advanced smart meters. The dataset consists of 60 households belonging to six major urban centers in varying climatic zones across the country. It is recorded on a 1-minute granularity for entire household usage as well as for individual appliances.  
2. Metadata encompassing building attributes and demographic information for each household. The households in the dataset represent a wide and mixed demographic, social structure, and financial background.
3. Meteorological dataset created with infromation of 18 months for six urban centers. It comprises of up to 10 essential variables: temperature, atmospheric pressure, humidity, dew, precipitation, wind direction, wind speed, solar radiation, solar energy and UV index",,"The resources can support policymaking and inform energy sustainability initiatives. They can namely be  utilized by key stakeholders such as the Ministry of Climate Change, Ministry of Energy (Power Division),  Punjab Energy Efficiency & Conservation Authority, and National Energy Efficiency &  Conservation Authority (NEECA)  Moreover,  private sector companies can use the data for market assessment purposes and strategic planning as new entrants in the restructured energy market.  The resources can also support further academic research and innovation.","Powered by: Lahore University (LUMS)
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Other,,,,Yes,,"First Editing done by Luisa 27.08.2025, Title and description revised by Balthas on 2.9. to strenghten the ""What can I do with this dataset"" dimension - catchy title."
ui_11,Datasets for transportation impact evaluation,Urban roadspace classification data and model,Colombia,"The team developed a labeled training dataset, derived from 50cm or better satellite imagery, based on a novel, pre-defined road space classification taxonomy appropriate for training and deployment of large-scale deep-learning models",https://github.com/yangshao2/UrbanInfraDL,,"SDG 10 (Reduced inequality through access to info in local languages/NLP), SDG 2 (End hunger, achieve food security, sustainable agriculture)",Dataset > Model,Geospatial/Remote Sensing,"Fundación Despacio,World Resources Institute,Fundación Despacio","Dataset and model available in Github. Dataset of  roadspace from 15 areas of Bogota each 1Km. 
Bogotá’s orthophoto and GIS layers. 
Data Dictionary ",Model that was tested for the entire city of Bogotá to clasify urban roadspace..And it worked with 98% reliability. Unfortunately not more info available,"The resources allow local governments, urban and infraestructure planning offices to evaluate how much area of the city is destined toe ach mode of transportation. It will be possible to include percentaje of area distribuited per mode as public and transportation allocation policies, to evaluate equity and accessibility.","Powered by: Fundación Despacio
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,Link to White paper,Yes,,"First Editing done by Luisa 28.08.2026 / Availability on Github: it doesn´t have a good exmplanation, which makes it hard to know what is it about."
ui_12,"Monitoring the impact of palm oil monoculture, shrimp aquaculture & mining in continental Ecuador and the Galapagos using AI",,Ecuador,"The dataset can help to build systems, that can monitor the impact of palm oil monoculture, shrimp aquaculture, mining and other land transformations in continental Ecuador and Galapagos. The project created a 20.000 points land use/cover classification training dataset from existing data, with labels that can be used to train multi-spectral Earth observation (EO) data machine learning (ML)  models covering continental Ecuador and the Galapagos islands.",https://www.kaggle.com/datasets/mapbiomasecuador/lulc-training-data-for-ecuador-ml/data,,"SDG 13 (Climate Action), Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset,Geospatial/Remote Sensing,Fundacion Ecociencia,"Two datasets available: 
- BaseDatosValidacionFinal30052: This is the raw dataset containing 20,000 georeferenced points along with their respective land cover classifications.
- LULC Training Data for Ecuador ML: This dataset builds upon the first by incorporating additional information on the conservation status of each point. This includes whether the location falls within protected areas, indigenous territories, areas under government forest incentive programs, and other conservation-related designations.",,"This dataset will allow for a better understanding of land transformation dynamics taking place, such as forest conversion to palm oil monoculture, mangrove transformation to shrimp aquaculture, water bodies and estuarine vegetation impacted by mining, natural grasslands encroached upon by expanding forest plantation, and more. It also has the potential to identify recovery cases. For example, the Galapagos data might provide the ability to estimate if invasive species control programs have had a positive impact in vegetation regeneration or if governmental forest incentives are promoting deforestation reduction in the Ecuadorian Amazon. The land’s conservation status has the potential to predict risk of future transformation. ","Powered by:  Ecociencia
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,"Quote: “Land cover/use temporal trends are essential to understand the status of the remaining natural cover and change trends. But understanding the drivers of land use/cover change with local precision has proved challenging when working with existing global-scale datasets. Lacuna Fund’s support will allow us to create a precise dataset that will elevate our ability to discriminate land use classes that are both temporally and spatially descriptive. This funding will also support an extra layer of data to support projects aimed at reducing the pressure on standing forests and help maintain the socio-natural systems that have successfully prevented conversion of forests for anthropogenic use.” 

– Wagner Holguín, Coordinator of MapBiomas Ecuador, Fundación Ecociencia ",Yes,,"First Editing done by Luisa 28.08.2027, titel and description revised by Balthas on 2.9. to strenghten the ""What can I do with this dataset"" dimension - catchy title."
ui_13,Forest carbon sequestration in the Congo Basin: combining In Situ Data and Artificial Intelligence to unlock climate finance ,,"Cameroon,DRC",,,,,,,World Resources Institute,,,,"Powered by:  World Resource Institution 
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: ""At a time when the Congo Basin has become the most important rainforest carbon sink, and one of the highest biodiversity hotspots in the world, understanding and tracking its dynamics is more urgent than ever if we want to achieve global 2030 climate and biodiversity goals. With support from Lacuna Fund, our project will help bring machine learning to scientists working on the ground to monitor this ecosystem. It will pilot innovative technologies to close knowledge gaps and help speed action towards better managing these rainforests, ensuring a better world for people, nature, and climate.”  

— Teodyl Nkuintchua, Congo Basin Strategy and Engagement Leader and Country Manager for Republic of Congo, World Resources Institute Africa ",Yes,,
ui_14,Indigenous Knowledge Meets AI: Monitoring Elephants and Rodents in Kenya and Ecuadorian Amazon with Biodiversity AI-Datasets,Ltome-Katip: Pioneering Indigenous-Led Biodiversity Datasets for Ethical AI in Kenya and the Ecuadorian Amazon,"Ecuador,Kenya","The Ltome-Katip datasets are the first Indigenous-labelled bioacoustic datasets designed specifically to support the development of ethical AI for biodiversity monitoring. Co-created by Indigenous data stewards from the Samburu tribe in northern Kenya and the Shuar Nation in the Ecuadorian Amazon, the recordings focus on two sentinel species: Ltome (elephant) and Katip (rodent), both of which signal ecological shifts under climate stress. All data were collected, annotated, and governed by the Indigenous communities, following locally defined protocols rooted in Indigenous data sovereignty. These datasets are not only scientifically valuable — they establish a precedent for how Indigenous communities can lead in setting standards for responsible, consent-based AI development.",https://arbimon.org/p/namunyak-conservancy-reteti-elephant-sanctuary; https://arbimon.org/p/shakiam-ecuadorian-amazon/insights,,"SGD 1, 2, 3, 4, 5, 8,10, 13, 15 ",Dataset  > Model > Pilot > Use-Case,"Drone Imagery, Text, Voice, Geospatial/Remote Sensing, Images, Meterological, Tabular, Other","Space4Innovation, Diana Mastracci diana@space4innovation.com","Ltome-Katip Indigenous Bioacoustic Dataset
Regions: Samburu (Kenya) · Shuar (Ecuadorian Amazon)
Custodians: Chief Titus Letaapo (Samburu tribe) (Namunyak Conservancy), Chief Mario Vargas Shakaim (Shuar Nation) (MUSAP Biological Station), and Space4Innovation
This dataset contains Indigenous-labelled bioacoustic recordings from two ecosystems—semi-arid savannah and tropical rainforest—collected through AudioMoth bioacustic sensors. Data include species-specific sounds (e.g., elephants, rodents), environmental background, and associated metadata following the CARE Principles for Indigenous Data Governance.
Use cases: biodiversity monitoring, species classification, human–wildlife conflict alerts, and AI model training for conservation.
Limitations: class imbalance (key species overrepresented), environmental noise, and spatial clustering; users should apply noise filtering and ethical review before reuse. These audio data are collected 24/7 when deployed in time periods ranging from hours to several weeks. The data are acquired from multiple microphones spread across the study site. Each microphone has a unique serial number and the geographic locations are provided using GPS. The data are time stamped, however there are data gaps in time and space due to logistics, equipment failure, or power loss. The original data are stored as 16-bit WAV files and are available. To make the data more widely available, they have been uploaded to the Arbimon.org platform. The Arbimon cloud platform is built for bioacoustics analysis using various ML . 
License: CC BY-NC-SA 4.0 — reuse and adaptation allowed for non-commercial purposes, with attribution and benefit sharing to Indigenous custodians.

","The Ltome-Katip system uses Indigenous-labelled bioacoustic data to train AI models that detect and classify species like elephants in Samburu (Kenya) and rodents in the Ecuadorian Amazon. These models are already being used to monitor biodiversity, understand ecological stress, and support early warning systems rooted in Indigenous governance. What sets Ltome-Katip apart is that both the dataset and its governance model were co-designed by Indigenous communities. All development follows the CARE Principles for Indigenous Data Sovereignty, and any replication must go through an Ethical AI Assessment to ensure consent, transparency, and benefit-sharing. This project sets a new global benchmark for community-led, responsible AI in biodiversity and conservation.

The data is processed using the Arbimon platform, where recordings are visualized as spectrograms and labelled through bounding boxes by trained Indigenous data stewards. The outputs — including geospatial and temporal metadata — can be downloaded as CSV files and used for further machine learning or integration with other ecological datasets. These tools are already generating insights into ecosystem change and human–wildlife conflict. The core team is now actively designing Ltome-Katip 2, a next-phase expansion that will deepen Indigenous-led data infrastructure, extend sensor coverage, and explore AI integration with the Namunyak app. While plans are in development, we are currently seeking aligned funding to support this work, which will remain entirely Indigenous-led and ethically governed at every stage.","The Ltome-Katip datasets can already be used to detect and classify species such as elephants and rodents, enabling real-time biodiversity monitoring and alerts for human–wildlife conflict. They also support ecosystem health assessments by capturing patterns in species richness, activity cycles, and climate-driven changes. Indigenous-led early warning systems are already being built using these datasets and dashboards, allowing communities to visualize and act on local ecological shifts. Researchers can extend this work by adding new species, integrating satellite data, applying transfer learning, or developing explainable AI tools to improve accuracy and cross-ecosystem usability. All reuse must respect Indigenous data sovereignty, undergo an ethical AI review, and credit the original communities. The Ltome-Katip core team is actively seeking funding for the next phase — Ltome-Katip 2 — which will expand the sensor network, strengthen community data infrastructure, and integrate AI capabilities into the Namunyak Indigenous app.","Powered by:  Space4Innovation, Namunyak Conservancy, GEO Indigenous Alliance, MUSAP & Rochester Institute for Technology
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ","Diana Mastracci, Space4Innovation, GEO Indigenous Alliance",Earth Observation & other,,https://creativecommons.org/licenses/by/4.0/,"Quote: “Through the integration of Indigenous knowledge and cutting-edge technology, the Ltome-Katip project not only addresses pressing environmental and technical machine learning challenges but empowers Indigenous communities to lead the way in conservation efforts. This initiative, in collaboration with the Rochester Institute and Space4Innovation, represents a true partnership between the Shuar tribe in the Ecuadorian Amazon and the Samburu tribe in northern Kenya, showcasing the power of collaboration and Indigenous knowledge in safeguarding our planet’s biodiversity.” 

— Mario Vargas Shakaim (Shuar), Ltome-Katip Indigenous-Led Monitoring Project GEO Indigenous Alliance https://www.linkedin.com/pulse/when-future-already-here-now-its-being-filmed-diana-mastracci-sanchez-y5rue.     https://www.linkedin.com/pulse/embracing-uncertainty-hidden-strength-science-diana-mastracci-sanchez-qdj5e.   https://www.linkedin.com/pulse/bridging-worlds-indigenous-led-innovation-remote-mastracci-sanchez-yjqfe.    https://www.rit.edu/dirs/research/ltome-katip-indigenous-led-labelling-inclusive-ai-addressing-human-wildlife-conflict-and.    https://www.rit.edu/news/professor-helps-bring-machine-learning-indigenous-communities ",Yes,,trello board with key messages: https://trello.com/invite/b/669bafb78c890345b83127a3/ATTIcf32f650c44aa08c718541da28f2559e8E474BA5/ltome-katip-comms-plan
ui_15,AI for Mangrove Carbon Credits: Turning Forest Data into Climate Action in Côte d’Ivoire,WatchMyTree,Cote d'Ivoire,,https://figshare.com/articles/dataset/The_First_Open_Dataset_of_Mangrove_Above-_and_Belowground_Biomass_and_Soil_Carbon_Stocks_in_C_te_d_Ivoire_Insights_from_Fresco_and_Sassandra_/30258772,,,Dataset,Tabular,data354,,,,"Powered by:  Data354
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",,,,,"Quote: “As far as monitoring and calculating forest carbon stocks are concerned, there is still a major technological bottleneck blocking the large-scale development of forest carbon credits in Côte d’Ivoire, which needs to be overcome quickly. Remote sensing is a useful tool in the forest monitoring process; further studies should be carried out to enable it to meet the need for assessment on a smaller scale and to measure biomass directly. In this way, we can help decision-makers orient their conservation policies, but also support the process of rewarding small players, such as agricultural producers involved in agroforestry, private forestry, etc. Our aim, with the funds raised, is to provide practical field data to better train artificial intelligence algorithms for dynamic mapping of forest biomass and mangroves.”   

 — Abraham Bio, Actum Dev General Manager ",Yes,,
ui_16,Mapping Cocoa Landscapes in Ghana: Reference Data for Tracking Land Use Change,,Ghana,This dataset was produced by the Centre for Remote Sensing and Geographic Information Services (CERSGIS) as part of the project Reference Data Collection for Improving Land Use Change Mapping in Ghana. The primary objective was to develop high-quality reference data to enhance the accuracy of remote sensing-based land use and land cover (LULC) change mapping using machine learning methods in Ghana’s cocoa production landscapes.,https://zenodo.org/records/15778396,,"Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset,Geospatial/Remote Sensing,Center for Remote Sensing and Geographic Information Services,"Content:
• 21,031 geocoded cocoa farm polygons (including agroforestry and shadeless cocoa)
• 14,192 homogeneous (shadeless) cocoa polygons digitized from farm plots
• 20,035 additional points/polygons for other land uses (informal gold mining, degraded forest, oil palm, rubber)
• 485 anonymised household clusters (from 4,444 individual surveys) providing socioeconomic context

Collection methods:
• OpenForis Ground (field-based polygon collection)
• Collect Earth Online (land use mapping)
• KoboToolbox (household survey data)

Purpose: Reference dataset for remote sensing, land cover classification, and land use change mapping in cocoa production landscapes.

Limitations:
• Polygons represent portions of farms, not legal or property boundaries.
• Farm sizes do not reflect entire holdings.
• Not suitable for certification or compliance purposes.",,"What can be done immediately:
• Train and validate machine learning models for cocoa farm detection, deforestation monitoring, and land use classification.
• Use as a benchmark dataset to evaluate remote sensing products in heterogeneous tropical landscapes.
• Support policy analysis on sustainable cocoa, land degradation, and restoration planning in Ghana.
How to extend or improve:
• Add new field reference data from other cocoa-producing regions (e.g., Côte d’Ivoire, Nigeria) to increase transferability.
• Integrate household-level socioeconomic data to study drivers of land use change and cocoa–forest dynamics.
• Combine with climate and soil datasets to model sustainability scenarios.
Limitations / ethical use:
• Must not be used for farm-level regulation or compliance; polygons are reference only.
• Potential imbalances between cocoa vs. non-cocoa land use classes should be addressed in model training.
• Users are encouraged to conduct an ethical AI assessment before deploying derived models.
Cost considerations:
• Dataset itself is open access (no cost).
• Small-scale applications (e.g., testing models in Google Earth Engine or QGIS) incur negligible costs.
• Larger-scale ML training and national-scale mapping may require cloud compute budgets
• Train and validate machine learning models for cocoa farm detection, deforestation monitoring, and land use classification.
• Use as a benchmark dataset to evaluate remote sensing products in heterogeneous tropical landscapes.

How to extend or improve: 
• Add new field reference data from other cocoa-producing regions (e.g., Côte d’Ivoire, Nigeria) to increase transferability.","Powered by:  WRI, CERSGIS, NASA SERVIR, Earth System Science Center
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Jonas Nothnagel,Computer Vision,,https://creativecommons.org/licenses/by/4.0/,"Quote: “We are extremely grateful to Lacuna Fund and are delighted that our reference data collection effort will contribute immensely to an evolving data ecosystem to set up scalable machine learning applications for monitoring land-use change in cocoa-forest mosaic landscapes. Led by the Centre for Remote Sensing and Geographic Services (CERSGIS) and supported by researchers from the Centre for Climate Change and Sustainability Studies University of Ghana, International Crops Research Institute for the Semi-Arid Tropics (ICRISAT), Boston University, and the University of Alabama in Huntsville through SERVIR West Africa and the SERVIR Global network, this work will leverage the local knowledge of youth and community members for science-based participatory data collection. This data will provide critical input for enabling the transformation of commodity-driven supply chain traceability and commercial opportunities for ecosystem sustainability.  

— Foster Mensah Center for Remote Sensing and Geographic Information Services University of Ghana ",Yes,,
ui_17,Miti360: A Comprehensive Dataset for AI-Powered Forest Monitoring,Miti360: A Machine Learning Ready Dataset for Automated and Scalable Forest Monitoring,Kenya,"Miti360 is an integrated, machine-learning ready dataset for individual-tree and stand-level reforestation monitoring that fuses high-resolution drone orthophotos, terrestrial stereo and single images, precise ground measurements (tree height, crown diameter, basal diameter and GPS locations), species labels, and multi-year weather time series for nearby stations. The collection is designed to support detection, segmentation, species classification, and biophysical parameter estimation (e.g., crown diameter, height, biomass proxies), and to enable linking short-term growth dynamics to weather. Data are provided in standard GIS and ML formats (GeoTIFF, JPEG, JSON, SHP, time-series API) for immediate integration into research and operational pipelines.",https://github.com/DeKUT-DSAIL/miti360,,"Life on Land (SDG 15): sustainably manage forests, halt and reverse land degradation and halt biodiversity loss.",Dataset,"Geospatial/Remote Sensing, Images","Prof. Ciira Maina, Centre for Data Science and Artificial Intelligence, Dedan Kimathi University of Technology","Miti360 contains the following core components and formats (quantities as provided):
- Orthophotos (GeoTIFF): high-resolution stitched orthomosaics (2 GeoTIFFs) and 844 orthophoto tiles exported for annotation. 
- Tree crown annotations (orthophoto): ~24,000 annotated crowns (bounding boxes) exported in JSON; 1,208 crowns have species labels and are also provided as a 1208-feature shapefile (SHP). 
- Ground measurements (numeric): 1,208 measurement records (600 individual trees sampled twice across two campaigns) in JSON — fields include tree height, crown diameter, basal diameter, and GPS coordinates. 
- Terrestrial single images: 1,208 JPEG images paired with semantic segmentation masks (mask files exported alongside images). 
- Terrestrial stereo images: 2,416 JPEG stereoscopic image pairs (left/right) with corresponding masks for 3D/photogrammetric workflows. 
- Weather time series: daily data spanning 8 years from 40 stations, accessible via an API endpoint for linking meteorological drivers to growth. 
All annotations and metadata use common interchange formats (JSON, SHP, GeoTIFF, JPEG) to enable GIS analyses and ML training without format conversion
",,"The Miti360 dataset is intended for training and assessing machine learning models in various forestry applications.
- Use the orthophoto tiles and bounding box annotations to train models for individual tree detection, counting, and classification from aerial imagery.
- Use the terrestrial stereoscopic images to develop and benchmark 3D computer vision models for automating forest inventory, such as estimating biophysical parameters.
- Combine the ground-truth measurements (TH, CD, BD) and weather data to train models that determine quantitative relationships between tree growth and local weather conditions.
- Leverage the multi-year data (2024-2025) to analyse changes in biophysical parameters and determine which tree species are growing well in the reforested area.

The dataset is designed to be integrated. By augmenting this dataset with others, one can
- Combine Miti360 with other global forestry datasets mentioned in the report (like NEON Crowns or Auto Arborist) to train models with greater geographic diversity, addressing a key gap this dataset was built to fill.
- Augment the dataset with socio-economic data on local farming to explore and validate the contribution of farmers to reforestation, an application suggested in the report.

Cost & resources one can use:
- Cost: Only associated compute costs
- Resources: The source code used for data analysis as well as preliminary models trained on the dataset will be made available.
","Powered by:  Dedan Kimathi University of Technology, Kenya
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,,,https://creativecommons.org/licenses/by/4.0/,"https://www.dw.com/en/artificial-intelligence-boosts-kenyas-forestry-conservation/video-69618432, https://dekut-dsail.github.io/projects/treedetection.html, https://agu.confex.com/agu/agu24/meetingapp.cgi/Paper/1728502, https://ieeexplore.ieee.org/document/11060524",Yes,,Original title: Remote sensing and weather dataset for improved reforestation monitoring
ui_19,African Trees for Climate Resilience: A Comprehensive Database,SAT-CARe,"Angola, DRC, Kenya, Mozambique, Nigeria, South Africa,Tanzania, Zambia","Extensive bioinformatics resource that leverages tree species’ distribution, medicinal, food provision, and other trait data, together with southern African trees’ climate relationships and growth characteristics for climate adaptation and mitigation planning.  The data can serve to promote the use of indigenous trees for reforestation, regenerative agriculture, ecological restoration, human health and livelihood support, and urban afforestation programs to adapt to and mitigate the impacts of climate change.",https://www.gbif.org/,,Life on Land (SDG 15): sustainably manage forests,Dataset > Model > Pilot,"Images, Tabular, Geospatial/Remote Sensing",Professor Guy F Midgley gfmidgley@sun.ac.za University of Stellenbosch,"An extensive relational floristic and plant functional database which, together with matching biogeoclimatic data sets and implementation of the distribution model, may describe the biogeoclimatic relationships and projects the growth and ecological success of all sufficiently recorded Southern African trees under current and future climatic conditions",Automation of a species distribution model that leverages a novel mechanistically based algorithm for 1) quantification of currently suitable planting-range conditions and 2) projection of climate risk for future planting-range suitability. This primary screening effort can be cross-referenced for adaptation and mitigation use-value sources to aid in tree species selection.,"The primary application of this work will include identifying indigenous species that can enhance ecological resilience by mapping adaptation and mitigation opportunities and assessing climate risks to African trees. Existing cutting-edge functional niche modeling will allow for the identification of areas for optimal use of African trees based on the results of tree growth performance. This will promote the use of indigenous trees for reforestation, regenerative agriculture, ecological restoration, human health and livelihood support, and urban afforestation programs to adapt to and mitigate the impacts of climate change.","Powered by:  Stellenbosch University
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Luisa Olaya,Computer Vision,"Possible to draw maps of species distribution for present and futrue climates, as one initial output, but also to run hundreds of species filtered by key trait characteristics that indicate suitability for climate mitigation and adaptation",https://creativecommons.org/licenses/by/4.0/,"Quote: ""We are excited that Lacuna Fund has provided Stellenbosch, and our team, with the opportunity to utilize these datasets to enable researchers to model the impacts of indigenous trees for adaptation and mitigation to climate change in southern Africa. This information is of the utmost importance in ensuring the continent can build resilience against the rapid unfolding of climate change which is affecting livelihoods and demanding that we find solutions.” 

— Professor Guy Midgley, Acting Director at School for Climate Studies, Stellenbosch University",Yes,,First Editing done by Luisa 28.08.2027
ui_20,Mangroves Protection in West Africa through AI-powered monitoring of mangrove health - Benin Mangroves Open Data (BeMOD),,Benin,"Mangroves are valuable coastal ecosystems, providing diverse services to humans and playing a critical role in the global strategy to mitigate impacts of climate change. Regular monitoring of their conditions is essential to provide evidence that supports timely decisions for their management. The “Benin Mangroves Open Data (BeMOD)” project generated annotated images, observations on water quality, observations on soil characteristics, climate observations, forest inventories data (tree diversity, canopy height and cover, tree diameter, total height, biomass, etc.) from plots, and data on socio-cultural contexts (e.g., uses, activities) of mangroves in multiple sites in Benin. ",,,"SDG 13 (Climate Action), clean water (SDG 6), Life below water (SDG 14), Life on land / biodiversity (SDG 15)",Dataset,"Images, Tabular","Romain Lucas        Glèlè Kakaï, Laboratory of Biomathematics and Forest Estimations, University of Abomey-Calavi (glele.romain@gmail.com or romain.glelekakai@fsa.uac.bj)",,,"This datasets can be used to build systems for faster, more regular monitoring of mangrove conditions. This is essential to provide evidence that supports timely decisions for mangrove management and mitigate the outcomes of climate change.
","Powered by: University of Abomey-Calavi, Republic of Benin 
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,Computer Vision,,,,Yes,,Original title: Datasets to understand mangroves health in relationship to climate change
ui_21,Open Land Use Reference Dataset for Palm Oil Landscapes in Indonesia,,Indonesia,"This dataset contributes to improved understanding and mitigation of the impacts of oil palm cultivation on forests and climate change. It can also serve to support sustainable forest management practices and empower local communities in forest resource management. 

The project created open and accessible training and evaluation datasets for machine learning applications focused on forest cover and change in Indonesia. It contains collections of polygons of uniform land cover, with labels indicating land cover type and, possibly, information on land cover change over time. To label land cover patches, the team has reviewed high-resolution satellite imagery facilitated by Collect Earth Online (CEO) and augmented it with field visits to difficult-to-classify areas. It has prioritized areas with significant landcover diversity with a preference for areas with significant smallholder production of  oil palm, coconut, and other commodities - given the well-known difficulties of distinguishing oil palm 
from coconut palm with lower resolution imagery.

Possible users of these outputs are local communities engaged in community forestry in Indonesia, as well as researchers, policymakers, and civil society organizations. The dataset also contributes to social forestry, which recognizes that people who depend on local forests are best placed to look after them, and that allowing communities to manage and use forest resources can have positive social, environmental and economic impacts. Social forestry is a broad term and has different names in different places. Some examples are community forestry, village forestry, participatory forestry, community-based forest management and people-centred forestry.",https://zenodo.org/records/15618532,We leveraged 'Collect Earth Online' heavily for this project and several project collaborators have contributed to that software: https://www.collect.earth/,"SDG 13 (Climate Action), 
SDG 15 (Life on Land)",Dataset,"Geospatial/Remote Sensing, Tabular",Muhammad Warizmi Wafiq (mwafiq@sig-gis.com),"For access and use, see Zenodo link to the left.

The dataset was developed through an integrative data collection and validation approach:

Wall-to-Wall Labeling:
Training data was created through opportunistic sampling across 6x6 km grids overlapping known oil palm regions. Labels were digitized in QGIS and refined through multi-spectral analysis of Planet NICFI imagery from corresponding months. The land cover classification followed a two-tiered typology covering estate crops (e.g., oil palm, rubber, coconut), annual crops, forests, shrubland, wetlands, and other land uses.

Satellite Imagery Pairing:
Each labeled grid is paired with PlanetScope monthly composite images clipped to grid extent. These cloud-minimized mosaics are consistent with the date of interpretation to support supervised machine learning training.

Validation Dataset (CEO):
A stratified random sampling method was applied to generate verification points across diverse land cover classes. Interpreters labeled points in CEO using a standardized survey form and high-resolution imagery. Twenty percent of samples were cross-verified by multiple interpreters to calculate agreement scores as part of QA/QC procedures. Select ambiguous classes were also validated through targeted field checks.

Metadata and Format:
All spatial layers are delivered in GeoJSON format, accompanied by metadata following ISO 19115 standards. Image tiles are delivered as GeoTIFFs, pre-aligned to vector boundaries.

Data Type:

Vector spatial dataset (Polygons, WKT), tabular metadata (.csv/.geojson), JSON-compatible attributes, raster images (GeoTIFF)",This is a carefully validated dataset for training AI and ML models and for any other applications that users would like to use it for.,Primary use: for training and validating AI and ML models,"Powered by:  RECOFTC
Catalyzed by: Lacuna-Fund / Meridian (Climate-call) &  FAIR Forward - AI for All
Financed by: BMZ",Balthas Seibold,Computer Vision,https://www.recoftc.org/sites/default/files/styles/image_scale_w1024/public/2025-03/dji_0037.jpg.webp?itok=l0ilgQi8,Creative Commons Attribution 4.0 International,"https://www.researchgate.net/publication/395402380_An_Open_Benchmark_Dataset_for_GeoAI_Foundation_Models_for_Oil_Palm_Mapping_in_Indonesia

https://www.recoftc.org/projects/advancing-oil-palm-mapping-social-forestry-and-machine-learning 

Quote: “Communities in the areas targeted by this project are challenged when it comes to mapping the rapidly changing forest landscapes on which they depend. The datasets this project generates will provide valuable insight into these dynamic patterns of change.”  

— Gamma Galudra, Director, Indonesia Country Office, RECOFTC ",Yes,,
